 연번 , 구분 , 호선 , 화장실명(역명) , 소재지도로명주소 , 소재지지번주소 , 남녀공용화장실여부 , 남성용-대변기수 , 남성용-소변기수 , 남성용-장애인용대변기수 , 남성용-장애인용소변기수 , 남성용-어린이용대변기수 , 남성용-어린이용소변기수 , 여성용-대변기수 , 여성용-장애인용대변기수 , 여성용-어린이용대변기수 , 관리기관명 , 전화번호 , 개방시간 , 화장실 상세위치 ,화장실 상세위치(게이트 내외부), 위도 , 경도 , 화장실소유구분 , 화장실설치장소유형 , 오물처리방식 , 비상벨 설치유무 , 화장실입구cctv설치유무 , 기저귀교환대설치유무-남자화장실 , 기저귀교환대설치유무-남자장애인화장실 , 기저귀교환대설치유무-여자화장실 , 기저귀교환대설치유무-여자장애인화장실 , 리모델링년월 ,데이터기준일자
69, 공중화장실 ,2, 용답 ,서울특별시 성동구 용답동 127 용답역,서울특별시 성동구 용답동 1,N,2,3,,,,,4,,, 서울교통공사 ,02-6110-1341,05:00~24:00, 대합실 ,외부,37.559493,126.963818, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,N,Y,N,2008이전,2023-08-14
70, 공중화장실 ,2, 도림천 ,서울특별시 구로구 신도림동 323-16 도림천역, 서울특별시 구로구 신도림동  ,N,3,5,1,,,,3,1,, 서울교통공사 ,02-6110-2441,05:00~24:00,"지상1층, 역무실 옆(게이트외)",외부,37.637537,126.918588, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
71, 공중화장실 ,2, 양천구청 ,서울특별시 양천구 신정동 276-7 양천구청역,서울특별시 양천구 신정동 2,N,5,4,1,,,,10,1,, 서울교통공사 ,02-6110-2451,05:00~24:00,"지하1층, 대합실(게이트내, 신청자량사업소출구 옆)",내부,37.618888,126.920832, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2014,2023-08-14
72, 공중화장실 ,2, 신정네거리 ,서울특별시 양천구 신정동 1231 신정네거리역,서울특별시 양천구 신정동 1,N,4,5,1,,,,9,1,, 서울교통공사 ,02-6110-2461,05:00~24:00,"지하1층 대합실(게이트외, 2번, 3번 출구방향)",외부,37.610483,126.929288, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2010,2023-08-14
73, 공중화장실 ,3, 구파발 ,서울특별시 은평구 진관동 67-26 3호선 구파발역,서울특별시 은평구 진관동 6,N,4,3,1,,,,7,1,, 서울교통공사 ,02-6110-3201,05:00~24:00,지하1층 대합실 가 게이트 외부,외부,37.600702,126.936005, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2010,2023-08-14
74, 공중화장실 ,3,연신내(3),서울특별시 은평구 갈현동 397 연신내역(3호선),서울특별시 은평구 갈현동 3,N,3,4,1,,1,,7,1,2, 서울교통공사 ,02-6110-3211,05:00~24:00,지하 1층 대합실 라 게이트 내부,내부,37.588672,126.944227, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2018,2023-08-14
75, 공중화장실 ,3,불광(3),서울특별시 은평구 대조동 14-1 불광역(3호선),서울특별시 은평구 대조동 1,N,3,5,1,,1,,9,1,2, 서울교통공사 ,02-6110-3221,05:00~24:00,지하1층 대합실 나 게이트 외부,외부,37.582361,126.950438, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2015,2023-08-14
76, 공중화장실 ,3, 녹번 ,서울특별시 은평구 녹번동 55 지하철3호선 녹번역,서울특별시 은평구 녹번동 5,N,5,5,1,,1,,10,1,1, 서울교통공사 ,02-6110-3231,05:00~24:00,지하1층 대합실 게이트 외부,외부,37.574301,126.955918, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2017,2023-08-14
77, 공중화장실 ,3, 홍제 ,서울특별시 서대문구 홍제동 161-1 홍제역, 서울특별시 서대문구 홍제동  ,N,4,5,1,,,,10,1,1, 서울교통공사 ,02-6110-3241,05:00~24:00,지하2층 대합실 다게이트 앞,외부,37.57582,126.973058, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
78, 공중화장실 ,3, 홍제 ,서울특별시 서대문구 홍제동 161-1 홍제역, 서울특별시 서대문구 홍제동  ,N,3,3,,,,,6,,, 서울교통공사 ,02-6110-3241,05:00~24:00,지하1층 대합실 상가(다이소) 옆,외부,37.57582,126.973058, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,N,N,N,2008이전,2023-08-14
79, 공중화장실 ,3, 무악재 ,서울특별시 서대문구 홍제동 26-1 무악재역, 서울특별시 서대문구 홍제동  ,N,2,3,1,,,,5,1,1, 서울교통공사 ,02-6110-3251,05:00~24:00,지하2층 대합실 가게이트 내부,내부,37.576696,126.985804, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,Y,Y,N,2021,2023-08-14
80, 공중화장실 ,3, 독립문 ,서울특별시 서대문구 현저동 101 독립문역, 서울특별시 서대문구 현저동  ,N,3,4,1,1,,,7,1,, 서울교통공사 ,02-6110-3261,05:00~24:00,지하1층 대합실 나게이트 내부,내부,37.57446628,126.9579137, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2012,2023-08-14
81, 공중화장실 ,3, 경복궁 ,서울특별시 종로구 적선동 81-1 3호선 경복궁역,서울특별시 종로구 적선동 8,N,5,5,1,,2,,11,1,2, 서울교통공사 ,02-6110-3271,05:00~24:00,지하2층 대합실 가게이트 내부,내부,37.571196,126.991959, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2016,2023-08-14
82, 공중화장실 ,3, 안국 ,서울특별시 종로구 안국동 155-2 3호선 안국역,서울특별시 종로구 안국동 1,N,4,4,1,,1,,8,1,2, 서울교통공사 ,02-6110-3281,05:00~24:00,지하3층 대합실 A계단 방면,외부,37.566412,126.994185, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2012,2023-08-14
83, 공중화장실 ,3,종로3가(3),서울특별시 종로구 묘동 59 종로3가역(3호선),서울특별시 종로구 묘동 59,N,5,5,1,1,1,,15,1,2, 서울교통공사 ,02-6110-3291,05:00~24:00,지하3층,내부,37.57156329,126.9918758, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2010,2023-08-14
84, 공중화장실 ,3,종로3가(3),서울특별시 종로구 묘동 59 종로3가역(3호선),서울특별시 종로구 묘동 59,N,2,1,1,,,,2,1,, 서울교통공사 ,02-6110-3291,05:00~24:00,지하2층,내부,37.57156329,126.9918758, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,N,N,N,2008이전,2023-08-14
85, 공중화장실 ,3,을지로3가(3),서울특별시 중구 을지로3가 282-8 을지로3가역(3호선),서울특별시 중구 을지로3가,N,2,4,1,,,,6,1,, 서울교통공사 ,02-6110-3301,05:00~24:00,가 대합실 역무실 아래 지하 2층,내부,37.548038,127.015883, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,Y,N,Y,2019,2023-08-14
86, 공중화장실 ,3, 동대입구 ,서울특별시 중구 장충동2가 199-3 동대입구역 3호선,서울특별시 중구 장충동2가,N,4,4,1,1,1,,8,1,1, 서울교통공사 ,02-6110-3321,05:00~24:00,지하2층 가게이트 내 대합실,내부,37.55905582,127.005316, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2010,2023-08-14
87, 공중화장실 ,3,약수(3),서울특별시 중구 신당동 369-44 약수역(3호선),서울특별시 중구 신당동 36,N,6,5,1,1,1,,9,1,, 서울교통공사 ,02-6110-3331,05:00~24:00,(지하1층 게이트 내 대합실),내부,37.569744,127.046945, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,Y,Y,N,2012,2023-08-14
88, 공중화장실 ,3, 금호 ,서울특별시 성동구 금호동4가 1470 금호역,서울특별시 성동구 금호동4가,N,6,7,1,1,1,,5,1,1, 서울교통공사 ,02-6110-3341,05:00~24:00,지하1층 가 게이트 내 대합실,내부,37.54826092,127.0158292, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,Y,Y,Y,2009,2023-08-14
89, 공중화장실 ,3, 옥수 ,서울특별시 성동구 옥수동 168-1 옥수역,서울특별시 성동구 옥수동 1,N,3,5,1,,,,8,1,, 서울교통공사 ,02-6110-3351,05:00~24:00,3층 환승통로측,내부,37.54156628,127.0173938, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2017,2023-08-14
90, 공중화장실 ,3, 옥수 ,서울특별시 성동구 옥수동 168-1 옥수역,서울특별시 성동구 옥수동 1,N,2,5,,,,,2,,, 서울교통공사 ,02-6110-3351,05:00~24:00,3층 금호역측,내부,37.54156628,127.0173938, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
91, 공중화장실 ,3, 압구정 ,서울특별시 강남구 신사동 668 압구정역,서울특별시 강남구 신사동 6,N,3,6,1,,1,,9,1,1, 서울교통공사 ,02-6110-3361,05:00~24:00,지하 1층,외부,37.513082,127.011857, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,Y,Y,N,2009,2023-08-14
92, 공중화장실 ,3, 신사 ,서울특별시 강남구 신사동 667 신사역,서울특별시 강남구 신사동 6,N,3,5,1,,1,,8,1,1, 서울교통공사 ,02-6110-3371,05:00~24:00,지하 1층,내부,37.494847,127.017286, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,Y,2009,2023-08-14
93, 공중화장실 ,3, 잠원 ,서울특별시 서초구 잠원동 100-1 잠원역,서울특별시 서초구 잠원동 1,N,3,4,1,,1,,7,1,2, 서울교통공사 ,02-6110-3381,05:00~24:00,지하1층 게이트 내 대합실,내부,37.486661,127.015218, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2017,2023-08-14
94, 공중화장실 ,3,교대(3),서울특별시 서초구 서초동 1748-4 교대역(3호선),서울특별시 서초구 서초동 1,N,3,5,1,,2,1,13,1,3, 서울교통공사 ,02-6110-3401,05:00~24:00,"대합실1층 역무실 맞은편,게이트외",외부,37.484761,127.033371, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2009,2023-08-14
95, 공중화장실 ,3, 남부터미널 ,서울특별시 서초구 서초동 1748-30 남부터미널역,서울특별시 서초구 서초동 1,N,3,5,1,,1,1,8,1,, 서울교통공사 ,02-6110-3411,05:00~24:00,대합실 B2층 역무실 앞,내부,37.486941,127.046621, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2009,2023-08-14
96, 공중화장실 ,3, 양재 ,서울특별시 서초구 서초동 1366-9 양재역,서울특별시 서초구 서초동 1,N,2,4,1,,,,6,1,, 서울교통공사 ,02-6110-3421,05:00~24:00,"대합실 B1층 상선 방향(9-4), 게이트 내",내부,37.490825,127.055306, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,Y,N,Y,2019,2023-08-14
97, 공중화장실 ,3, 매봉 ,서울특별시 강남구 도곡동 179-2 매봉역,서울특별시 강남구 도곡동 1,N,4,5,1,,1,,9,1,1, 서울교통공사 ,02-6110-3431,05:00~24:00,대합실 B1층 게이트옆,외부,37.494543,127.063426, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,Y,N,Y,2019,2023-08-14
98, 공중화장실 ,3, 도곡 ,서울특별시 강남구 도곡동 339-2 도곡역,서울특별시 강남구 도곡동 3,N,4,5,1,,1,,9,1,1, 서울교통공사 ,02-6110-3441,05:00~24:00,대합실  B2층  게이트 밖,외부,37.496679,127.071705, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,Y,Y,Y,2019,2023-08-14
99, 공중화장실 ,3, 대치 ,서울특별시 강남구 대치동 317-3 대치역,서울특별시 강남구 대치동 3,N,3,4,1,,1,,8,1,2, 서울교통공사 ,02-6110-3451,05:00~24:00,대합실 B1층 역무실 앞,내부,37.493686,127.079479, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2015,2023-08-14
100, 공중화장실 ,3, 학여울 ,서울특별시 강남구 대치동 514-3 학여울역,서울특별시 강남구 대치동 5,N,4,4,1,,1,,8,1,2, 서울교통공사 ,02-6110-3461,05:00~24:00,대합실 B4층 외부 E/V 옆 (게이트외),외부,37.483953,127.084413, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2018,2023-08-14
101, 공중화장실 ,3, 대청 ,서울특별시 강남구 일원동 700-9 대청역,서울특별시 강남구 일원동 7,N,3,3,1,,1,,6,1,1, 서울교통공사 ,02-6110-3471,05:00~24:00,대합실  B2층 상선 게이트안,내부,37.48735,127.101842, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2020,2023-08-14
102, 공중화장실 ,3, 일원 ,서울특별시 강남구 일원동 717 일원역,서울특별시 강남구 일원동 7,N,3,5,1,,,,8,1,, 서울교통공사 ,02-6110-3481,05:00~24:00,"대합실 B2층 7번출구옆, 역무실 앞",외부,37.48398867,127.0841298, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2018,2023-08-14
103, 공중화장실 ,3, 수서 ,서울특별시 강남구 수서동 728 수서역,서울특별시 강남구 수서동 7,N,3,5,1,,1,1,8,1,1, 서울교통공사 ,02-6110-3491,05:00~24:00,대합실 B1층 역무실좌측(게이트내),내부,37.48756025,127.1024105, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2009,2023-08-14
104, 공중화장실 ,3,가락시장(3),서울특별시 송파구 가락동 184-23 가락시장역,서울특별시 송파구 가락동 1,N,1,2,1,,,,5,1,, 서울교통공사 ,02-6110-3501,05:00~24:00,대합실 B2층 고객상담실앞(게이트내),내부,37.49224932,127.1176417, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2010,2023-08-14
105, 공중화장실 ,3,가락시장(3),서울특별시 송파구 가락동 184-23 가락시장역,서울특별시 송파구 가락동 1,N,3,4,,,,,8,,, 서울교통공사 ,02-6110-3501,05:00~24:00,대합실 B2층 고객상담실앞(게이트외),외부,37.49224932,127.1176417, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2010,2023-08-14
106, 공중화장실 ,3, 경찰병원 ,서울특별시 송파구 가락동 10-15 경찰병원역,서울특별시 송파구 가락동 1,N,2,3,1,,,,2,1,, 서울교통공사 ,02-6110-3512,05:00~24:00,대합실 B1층 역무실 앞(게이트내),내부,37.49600492,127.1244824, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2010,2023-08-14
107, 공중화장실 ,3, 경찰병원 ,서울특별시 송파구 가락동 10-15 경찰병원역,서울특별시 송파구 가락동 1,N,3,4,,,,,11,,, 서울교통공사 ,02-6110-3512,05:00~24:00,대합실 B1층 고객안내부스옆(게이트외),외부,37.49600492,127.1244824, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2010,2023-08-14
108, 공중화장실 ,3,오금(3),서울특별시 송파구 오금동 44-2 오금역,서울특별시 송파구 오금동 4,N,2,2,1,,,,2,1,, 서울교통공사 ,02-6110-3522,05:00~24:00,대합실 B1층 2번출구옆(게이트내),내부,37.50232209,127.1284828, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2010,2023-08-14
109, 공중화장실 ,3,오금(3),서울특별시 송파구 오금동 44-2 오금역,서울특별시 송파구 오금동 4,N,3,3,1,1,,,11,1,, 서울교통공사 ,02-6110-3522,05:00~24:00,대합실 B1층 2번출구옆(게이트외),외부,37.50232209,127.1284828, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2010,2023-08-14
110, 공중화장실 ,4, 당고개 ,서울특별시 노원구 상계동 111 당고개역,서울특별시 노원구 상계동 1,N,2,2,1,1,1,,4,1,1, 서울교통공사 ,02-6110-4091,05:00~24:00,"대합실 1층 (1,4 출구방향)",외부,37.67021684,127.0790666, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,Y,Y,Y,2010,2023-08-14
111, 공중화장실 ,4, 당고개 ,서울특별시 노원구 상계동 111 당고개역,서울특별시 노원구 상계동 1,N,5,9,,,,,7,,, 서울교통공사 ,02-6110-4091,05:00~24:00,대합실 2층 역무실 앞,외부,37.67021684,127.0790666, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
112, 공중화장실 ,4, 상계 ,서울특별시 노원구 상계동 156-203 상계역,서울특별시 노원구 상계동 1,N,3,5,1,,2,,8,1,2, 서울교통공사 ,02-6110-4101,05:00~24:00,2층 대합실 나게이트 안,내부,37.648811,127.034866, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,Y,Y,Y,2010,2023-08-14
113, 공중화장실 ,4,노원(4),서울특별시 노원구 상계동 602-5 노원역(4호선),서울특별시 노원구 상계동 6,N,6,6,1,,2,,15,1,2, 서울교통공사 ,02-6110-4111,05:00~24:00,2층 대합실 나게이트 안,내부,37.639775,127.027208, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2013,2023-08-14
114, 공중화장실 ,4, 창동 ,서울특별시 도봉구 창동 135-1 창동역,서울특별시 도봉구 창동 13,N,4,7,1,,1,,17,1,1, 서울교통공사 ,02-6110-4121,05:00~24:00,2층 대합실 나게이트 안,내부,37.629878,127.024714, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,Y,Y,Y,2009,2023-08-14
115, 공중화장실 ,4, 쌍문 ,서울특별시 도봉구 창동 703-4 쌍문역,서울특별시 도봉구 창동 70,N,5,5,1,,,,11,1,, 서울교통공사 ,02-6110-4131,05:00~24:00,지하1층 나환기실 옆,외부,37.615104,127.030046, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2015,2023-08-14
116, 공중화장실 ,4, 수유 ,서울특별시 강북구 수유동 140 수유역,서울특별시 강북구 수유동 1,N,3,6,1,,,,9,1,1, 서울교통공사 ,02-6110-4141,05:00~24:00,"대합실 지하1층 역무실 옆(2,8번 출구방향)",내부,37.603225,127.024965, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,Y,Y,Y,2010,2023-08-14
117, 공중화장실 ,4, 미아 ,서울특별시 강북구 미아동 194-1 미아역,서울특별시 강북구 미아동 1,N,3,4,1,,,,7,1,, 서울교통공사 ,02-6110-4151,05:00~24:00,"대합실 지하1층 교양휴게실 앞 (3,4번 게이트방향)",외부,37.593048,127.016714, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2022,2023-08-14
118, 공중화장실 ,4, 미아사거리 ,서울특별시 강북구 미아동 66-1 미아사거리역,서울특별시 강북구 미아동 6,N,5,6,1,,1,,12,1,1, 서울교통공사 ,02-6110-4161,05:00~24:00,지하1층 역무실 옆,외부,37.492504,126.894962, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
119, 공중화장실 ,4, 길음 ,서울특별시 성북구 길음동 877-66 길음역,서울특별시 성북구 길음동 8,N,5,5,1,,2,,12,1,2, 서울교통공사 ,02-6110-4171,05:00~24:00,지하1층 대합실 가게이트 밖,외부,37.581893,127.001953, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2013,2023-08-14
120, 공중화장실 ,4, 성신여대입구 ,서울특별시 성북구 동선동4가 1 성신여대입구역,서울특별시 성북구 동선동4가,N,4,6,1,1,2,,10,1,, 서울교통공사 ,02-6110-4181,05:00~24:00,지하1층 고객 안내부스에서 10m 안쪽,내부,37.570385,127.009529, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2011,2023-08-14
121, 공중화장실 ,4, 한성대입구 ,서울특별시 성북구 삼선동1가 14 한성대입구역,서울특별시 성북구 삼선동1가,N,5,7,,,,,6,,, 서울교통공사 ,02-6110-4191,05:00~24:00,"1번출구방향, 가게이트 쪽(게이트외)",외부,37.58842461,127.0060178, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
122, 공중화장실 ,4, 혜화 ,서울특별시 종로구 명륜4가 96-5 4호선 혜화역,서울특별시 종로구 명륜4가,N,4,6,1,,,,10,1,, 서울교통공사 ,02-6110-4201,05:00~24:00,(지하1층 3번출구 방면),외부,37.58204392,127.0194501, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,Y,Y,Y,2009,2023-08-14
123, 공중화장실 ,4,동대문(4),서울특별시 종로구 종로6가 287-1 동대문역(4호선),서울특별시 종로구 종로6가,N,2,4,1,,1,,6,1,, 서울교통공사 ,02-6110-4211,05:00~24:00,지하2층,내부,37.561159,126.994398, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,Y,N,Y,2019,2023-08-14
124, 공중화장실 ,4,동대문역사문화공원(4),서울특별시 중구 광희동2가 9 동대문역사문화공원역(4호선),서울특별시 중구 광희동2가,N,3,5,1,,1,,12,1,1, 서울교통공사 ,02-6110-4221,05:00~24:00,"지하1층 10,11번 기둥앞",외부,37.56514371,127.0079152, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2010,2023-08-14
125, 공중화장실 ,4,동대문역사문화공원(4),서울특별시 중구 광희동2가 9 동대문역사문화공원역(4호선),서울특별시 중구 광희동2가,N,3,5,1,,,,12,1,, 서울교통공사 ,02-6110-4221,05:00~24:00,지하2층 내부계단 옆,내부,37.56514371,127.0079152, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2010,2023-08-14
126, 공중화장실 ,4,충무로(4),"서울특별시 중구 필동2가 16-2 충무로역(3, 4호선)",서울특별시 중구 필동2가 1,N,6,5,1,,,1,14,1,1, 서울교통공사 ,02-6110-4231,05:00~24:00,"지하2층 3,4,5,6,7번 출구쪽, 게이트내",내부,37.535982,126.971351, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2012,2023-08-14
127, 공중화장실 ,4, 명동 ,서울특별시 중구 충무로2가 109-2 명동역 4호선,서울특별시 중구 충무로2가,N,4,5,1,,,,9,1,1, 서울교통공사 ,02-6110-4241,05:00~24:00,"지하1층 2,3,4,5,6,7,8번 출구쪽, 게이트내",내부,37.545528,126.97197, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2017,2023-08-14
128, 공중화장실 ,4, 회현 ,서울특별시 중구 남창동 64-1 회현역 4호선,서울특별시 중구 남창동 64,N,4,4,1,1,1,,8,1,2, 서울교통공사 ,02-6110-4251,05:00~24:00,게이트내 지하2층,내부,37.534394,126.973014, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2012,2023-08-14
129, 공중화장실 ,4,서울(4),서울특별시 중구 용산구 동자동 14-151 서울역(4호선), 서울특별시 중구 용산구 동자 ,N,5,4,1,,1,,10,1,1, 서울교통공사 ,02-6110-4261,05:00~24:00,"14번 출구  옆, 11번 출구 물품보관함 건너편",외부,37.529364,126.968299, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2015,2023-08-14
130, 공중화장실 ,4, 숙대입구 ,서울특별시 용산구 갈월동 16-7 숙대입구역,서울특별시 용산구 갈월동 1,N,4,6,1,1,2,,10,1,2, 서울교통공사 ,02-6110-4271,05:00~24:00,지하1층 가대합실과 나대합실 연결통로 가운데 위치,외부,37.522481,126.973671, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2012,2023-08-14
131, 공중화장실 ,4,삼각지(4),서울특별시 용산구 한강로1가 228-1 삼각지역(4호선),서울특별시 용산구 한강로1가,N,3,3,1,,,,9,1,1, 서울교통공사 ,02-6110-4281,05:00~24:00,"지하 1층 3,4번 출구 게이트 안쪽",외부,37.503465,126.979927, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2010,2023-08-14
132, 공중화장실 ,4, 신용산 ,서울특별시 용산구 한강로2가 181 4호선 신용산역,서울특별시 용산구 한강로2가,N,4,6,1,,1,,10,1,1, 서울교통공사 ,02-6110-4291,05:00~24:00,지하1층 삼각지측,외부,37.487514,126.982162, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2016,2023-08-14
133, 공중화장실 ,4, 이촌 ,서울특별시 용산구 용산동5가 17-112 4호선 이촌역,서울특별시 용산구 용산동5가,N,4,4,1,,,,11,1,, 서울교통공사 ,02-6110-4301,05:00~24:00,대합실(지하1층) 역무실 앞,내부,37.52237348,126.9745201, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2012,2023-08-14
134, 공중화장실 ,4, 동작 ,서울특별시 동작구 동작동 327-1 4호선 동작역,서울특별시 동작구 동작동 3,N,5,5,1,1,1,,15,1,1, 서울교통공사 ,02-6110-4311,05:00~24:00,대합실 2층 구내식당좌측,내부,37.50297958,126.9803148, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,Y,N,Y,2010,2023-08-14
135, 공중화장실 ,4,총신대입구(4),서울특별시 동작구 사당동 736-1 총신대역4호선,서울특별시 동작구 사당동 7,N,3,4,1,,1,,7,1,2, 서울교통공사 ,02-6110-4321,05:00~24:00,지하1층 동작측,내부,37.4867996,126.9822119, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2016,2023-08-14
136, 공중화장실 ,4,사당(4),서울특별시 동작구 사당동 588-4 사당역(4호선),서울특별시 동작구 사당동 5,N,3,4,1,,,,6,1,, 서울교통공사 ,02-6110-4331,05:00~24:00,(지하1층 총신대측),외부,37.47759121,126.9816985, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,Y,Y,Y,2009,2023-08-14
137, 공중화장실 ,4,사당(4),서울특별시 동작구 사당동 588-4 사당역(4호선),서울특별시 동작구 사당동 5,N,4,7,1,,,,12,1,, 서울교통공사 ,02-6110-4331,05:00~24:00,(지하1층 남태령측),외부,37.47759121,126.9816985, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,N,Y,Y,Y,2009,2023-08-14
138, 공중화장실 ,4,사당(4),서울특별시 동작구 사당동 588-4 사당역(4호선),서울특별시 동작구 사당동 5,N,4,5,1,,,,9,1,, 서울교통공사 ,02-6110-4331,05:00~24:00,(지하2층 환승통로),내부,37.47759121,126.9816985, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,Y,Y,Y,2020,2023-08-14
139, 공중화장실 ,4, 남태령 ,서울특별시 서초구 방배동 2909 남태령역,서울특별시 서초구 방배동 2,N,3,5,1,1,,,3,1,, 서울교통공사 ,02-6110-4341,05:00~24:00,(지하2층 역무실 옆),내부,37.588021,127.005797, 서울교통공사 , 역사 내 화장실 , 수세식 ,Y,Y,Y,N,Y,N,2008이전,2023-08-14
